book,title,language
hvd.32044014292023,"Alice's adventures in Wonderland ; and, Through the looking-glass / by Lewis Carroll ; with ninety-two illustrations by John Tenniel.",eng
hvd.32044102860673,"Notre Dame de Paris. Abridged and edited, with introd. and notes, by John R. Wightman.",fre
mdp.39015038910694,"Moby Dick,",eng
pst.000029579440,The adventures of Huckleberry Finn / by Mark Twain.,eng
uiug.30112037882914,Candide ou L'optimisme.,fre
wu.89104415476,Les liaisons dangereuses / Choderlos de Laclos ;édition publiée d'après le texte original précédée d'une étude sur Choderlos de Laclos et suivie d'une bibliographie par Ad. Van Berver.,fre
mdp.39015004295880,"Les caves du Vatican,",fre
mdp.39015005725919,Madame Bovary de Gustave Flaubert; étude et analyse.,fre
mdp.39015008815865,Jean Barois ...,fre
mdp.39015066049530,The catcher in the rye / J. D. Salinger.,eng
mdp.39076002736721,Catch-22 / Joseph Heller.,eng
pst.000062491532,The lord of the rings / J.R.R. Tolkien.,eng
